#Elist Carrier_QAH Carrier_Axion
1.992481203007518076e+00 3.235741190497696707e+00 2.698576384514309368e+00
2.007518796992481036e+00 3.299180423367987558e+00 2.751312347093968214e+00
2.022556390977443108e+00 3.363164588285126655e+00 2.804483323741763456e+00
2.037593984962406068e+00 3.427699339395983813e+00 2.858091140026649768e+00
2.052631578947368141e+00 3.492790920284003064e+00 2.912137645372643746e+00
2.067669172932330213e+00 3.558446017075004519e+00 2.966624683179501787e+00
2.082706766917293173e+00 3.624671580083601796e+00 3.021554074961050773e+00
2.097744360902255245e+00 3.691474633349105972e+00 3.076927619976828510e+00
2.112781954887218205e+00 3.758862093636944124e+00 3.132747108975571848e+00
2.127819548872180277e+00 3.826840620324439612e+00 3.189014348220666761e+00
2.142857142857142350e+00 3.895416514991133283e+00 3.245731188348115026e+00
2.157894736842105310e+00 3.964595684722635127e+00 3.302899552076096867e+00
2.172932330827067382e+00 4.034383676607660618e+00 3.360521455397096346e+00
2.187969924812029454e+00 4.104785783367786323e+00 3.418599018486503383e+00
2.203007518796992414e+00 4.175807212349592845e+00 3.477134464825867965e+00
2.218045112781954487e+00 4.247453303107548095e+00 3.536130109522281018e+00
2.233082706766916559e+00 4.319729773327217970e+00 3.595588340032746189e+00
2.248120300751879519e+00 4.392642969536415976e+00 3.655511594055704805e+00
2.263157894736841591e+00 4.466200098343303893e+00 3.715902339942829258e+00
2.278195488721804551e+00 4.540409415953966743e+00 3.776763064508310563e+00
2.293233082706766623e+00 4.615280358280752893e+00 3.838096271665309089e+00
2.308270676691728696e+00 4.690823600590620757e+00 3.899904493177645648e+00
2.323308270676691656e+00 4.767051043656236331e+00 3.962190310386590753e+00
2.338345864661653728e+00 4.843975731895753256e+00 4.024956383520366998e+00
2.353383458646616688e+00 4.921611717089454885e+00 4.088205483549700148e+00
2.368421052631578760e+00 4.999973888048691251e+00 4.151940520838229176e+00
2.383458646616540832e+00 5.079077791327573976e+00 4.216164565203628811e+00
2.398496240601503793e+00 5.158939470172610342e+00 4.280880853406269893e+00
2.413533834586465865e+00 5.239575348140867561e+00 4.346092782277725775e+00
2.428571428571427937e+00 5.321002180230058443e+00 4.411803888302058496e+00
2.443609022556390897e+00 5.403237088300709701e+00 4.478017816999042111e+00
2.458646616541352969e+00 5.486297689637082087e+00 4.544738287465595050e+00
2.473684210526315042e+00 5.570202318485328874e+00 4.611969058534004517e+00
2.488721804511278002e+00 5.654970331220498636e+00 4.679713902985554341e+00
2.503759398496240074e+00 5.740622477322739670e+00 4.747976595097485486e+00
2.518796992481203034e+00 5.827181311380950746e+00 4.816760914685305650e+00
2.533834586466165106e+00 5.914671616493789585e+00 4.886070668089823599e+00
